session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser=<*> rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser=<*> rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser=<*> rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser=<*> rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser=<*> rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
*** info [mice.c(1766)]:,* info [mice.c(<*>)]:,*** info [mice.c(<*>)]:
imps2: Auto-detected intellimouse PS/2,imps2: Auto-detected intellimouse PS/2,imps2: Auto-detected intellimouse PS/<*>
ROOT LOGIN ON tty2,ROOT LOGIN ON tty2,<*> LOGIN ON tty2
creating device node '/udev/vcs2',creating device node '/udev/vcs2',creating device node '<*>'
creating device node '/udev/vcsa2',creating device node '/udev/vcsa2',creating device node '<*>'
creating device node '/udev/vcs2',creating device node '/udev/vcs*',creating device node '<*>'
creating device node '/udev/vcsa2',creating device node '/udev/vcsa2',creating device node '<*>'
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
authentication failure; logname= uid=0 euid=0 tty=:0 ruser= rhost=,authentication failure; logname= uid=<*> euid=<*> tty=:<*> ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=:<*> ruser= rhost=
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
session opened for user cyrus by (uid=0),session opened for user cyrus by (uid=<*>),session opened for user <*> by (uid=<*>)
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-76-104-65.ebix.net.tw,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser=<*> rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
